ORGID,NODEID,xLon,yLat
658,467,-74.00353300000,40.71744900000
178,468,-74.01063170000,40.71746350000
2292,469,-73.98000190000,40.71754300000
2331,470,-73.97942150000,40.71730060000
914,471,-73.99931300000,40.71755000000
256,472,-74.00900000000,40.71759800000
1111,473,-73.99631840000,40.71761030000
92,474,-74.01382090000,40.71761740000
862,475,-74.00027400000,40.71761900000
1850,476,-73.98581550000,40.71762840000
1649,477,-73.98867100000,40.71765000000
366,478,-74.00753330000,40.71766790000
1414,479,-73.99221720000,40.71766800000
40,480,-74.01576900000,40.71767100000
1916,481,-73.98483760000,40.71767250000
508,482,-74.00579190000,40.71768340000
83,483,-74.01408980000,40.71773920000
1056,484,-73.99710310000,40.71787820000
1598,485,-73.98947790000,40.71789440000
262,486,-74.00894300000,40.71792500000
813,487,-74.00098800000,40.71793200000
1353,488,-73.99308980000,40.71793260000
1805,489,-73.98662610000,40.71794970000
523,490,-74.00558740000,40.71795230000
876,491,-73.99995600000,40.71801700000
691,492,-74.00304300000,40.71803380000
183,493,-74.01049580000,40.71811530000
1811,494,-73.98653840000,40.71812090000
1536,495,-73.99023190000,40.71812370000
1304,496,-73.99382420000,40.71815940000
997,497,-73.99793820000,40.71816330000
1745,498,-73.98745050000,40.71824000000
552,499,-74.00526930000,40.71825580000
392,500,-74.00705200000,40.71826900000
1505,501,-73.99071600000,40.71826900000
265,502,-74.00888030000,40.71827390000
543,503,-74.00536090000,40.71829870000
2097,504,-73.98250310000,40.71830280000
1486,505,-73.99097400000,40.71834800000
1753,506,-73.98737470000,40.71838680000
843,507,-74.00053200000,40.71843000000
947,508,-73.99875480000,40.71844200000
1227,509,-73.99480920000,40.71847020000
1686,510,-73.98823970000,40.71848070000
2033,511,-73.98339810000,40.71857380000
1444,512,-73.99174910000,40.71858360000
1691,513,-73.98816450000,40.71862640000
716,514,-74.00252850000,40.71863890000
271,515,-74.00881900000,40.71864200000
907,516,-73.99942920000,40.71867230000
1626,517,-73.98905040000,40.71872790000
1154,518,-73.99569740000,40.71878200000
2647,519,-73.97499815490,40.71878408900
2633,520,-73.97510890000,40.71879250000
2665,521,-73.97487755090,40.71879568410
189,522,-74.01035170000,40.71880590000
1966,523,-73.98422940000,40.71882590000
1383,524,-73.99262100000,40.71885100000
578,525,-74.00483520000,40.71885930000
2597,526,-73.97549000000,40.71887240000
440,527,-74.00658620000,40.71887320000
1630,528,-73.98898040000,40.71887400000
917,529,-73.99923400000,40.71891300000
2668,530,-73.97485714400,40.71891927700
1574,531,-73.98980730000,40.71895870000
2652,532,-73.97497322700,40.71897197610
2638,533,-73.97507090000,40.71899770000
2603,534,-73.97543540000,40.71901130000
560,535,-74.00517170000,40.71901940000
275,536,-74.00874700000,40.71902900000
126,537,-74.01232460000,40.71904750000
1100,538,-73.99648110000,40.71904940000
2534,539,-73.97639500000,40.71906920000
1335,540,-73.99336000000,40.71907000000
1896,541,-73.98507560000,40.71908250000
1583,542,-73.98973200000,40.71910210000
1533,543,-73.99027560000,40.71910470000
408,544,-74.00693470000,40.71911850000
744,545,-74.00209100000,40.71915300000
1516,546,-73.99055330000,40.71918620000
882,547,-73.99984100000,40.71919300000
2538,548,-73.97634090000,40.71919780000
1539,549,-73.99021090000,40.71924740000
2488,550,-73.97724710000,40.71925060000
278,551,-74.00869900000,40.71929600000
1520,552,-73.99048050000,40.71932920000
